AccountingDate,DiffMeanHourlyPayPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleMedianBonusPayPercent,FemaleMedianBonusPayPercent,MaleLowerPayBand,FemaleLowerPayBand,MaleMiddlePayBand,FemaleMiddlePayBand,MaleUpperPayBand,FemaleUpperPayBand,MaleUpperQuartilePayBand,FemaleUpperQuartilePayBand,CompanyLinkToGPGInfo,ResponsiblePerson,SubmittedDate,EmployerName,CompanyNumber,Address1,Address2,Address3,Country,PostCode,PoBox,SicCodes
01/04/2016 00:00:00,73.00,8.00,55.00,76.00,19.00,96.00,41.00,97.00,65.00,59.00,49.00,43.00,50.00,60.00,https://AccountantinBankruptcy.co.uk/GPGData,Firstname493 Lastname493 (Jobtitle 493),02/12/2016 00:00:00,Accountant in Bankruptcy,,Address line 493,,City493,Country493,Post Code493,,1
01/04/2016 00:00:00,73.00,46.00,89.00,74.00,6.00,93.00,88.00,56.00,5.00,69.00,73.00,89.00,35.00,22.00,https://AdvisoryConciliationandArbitrationService.co.uk/GPGData,Firstname494 Lastname494 (Jobtitle 494),18/03/2017 00:00:00,Advisory Conciliation and Arbitration Service,,Address line 494,,City494,Country494,Post Code494,,1
01/04/2016 00:00:00,77.00,2.00,71.00,86.00,43.00,20.00,32.00,20.00,84.00,100.00,39.00,24.00,42.00,7.00,https://AirAccidentsInvestigationBranch.co.uk/GPGData,Firstname495 Lastname495 (Jobtitle 495),12/10/2016 00:00:00,Air Accidents Investigation Branch,,Address line 495,,City495,Country495,Post Code495,,1
01/04/2016 00:00:00,36.00,94.00,78.00,59.00,33.00,5.00,58.00,13.00,60.00,63.00,18.00,57.00,46.00,23.00,https://AlbrightonParishCouncil.co.uk/GPGData,Firstname496 Lastname496 (Jobtitle 496),13/04/2016 00:00:00,Albrighton Parish Council,,Address line 496,,City496,Country496,Post Code496,,1
01/04/2016 00:00:00,7.00,27.00,55.00,14.00,18.00,8.00,23.00,75.00,55.00,22.00,18.00,75.00,89.00,6.00,https://AlconburyParishCouncil.co.uk/GPGData,Firstname497 Lastname497 (Jobtitle 497),10/04/2016 00:00:00,Alconbury Parish Council,,Address line 497,,City497,Country497,Post Code497,,1
01/04/2016 00:00:00,3.00,8.00,59.00,32.00,98.00,10.00,17.00,84.00,2.00,99.00,37.00,95.00,70.00,29.00,https://AlderburyParishCouncil.co.uk/GPGData,Firstname498 Lastname498 (Jobtitle 498),18/02/2017 00:00:00,Alderbury Parish Council,,Address line 498,,City498,Country498,Post Code498,,1
01/04/2016 00:00:00,86.00,44.00,97.00,76.00,38.00,81.00,71.00,47.00,35.00,26.00,36.00,80.00,49.00,49.00,https://AldingtonandBonningtonParishCouncil.co.uk/GPGData,Firstname499 Lastname499 (Jobtitle 499),24/06/2016 00:00:00,Aldington and Bonnington Parish Council,,Address line 499,,City499,Country499,Post Code499,,1
01/04/2016 00:00:00,37.00,77.00,91.00,74.00,65.00,9.00,0.00,92.00,70.00,25.00,53.00,75.00,6.00,80.00,https://AlkboroughandWalcotParishCouncil.co.uk/GPGData,Firstname500 Lastname500 (Jobtitle 500),05/03/2017 00:00:00,Alkborough and Walcot Parish Council,,Address line 500,,City500,Country500,Post Code500,,1
01/04/2016 00:00:00,64.00,49.00,22.00,37.00,12.00,63.00,35.00,100.00,12.00,27.00,37.00,14.00,76.00,92.00,https://AllbrookandNorthBoyattParishCouncil.co.uk/GPGData,Firstname501 Lastname501 (Jobtitle 501),06/05/2016 00:00:00,Allbrook and North Boyatt Parish Council,,Address line 501,,City501,Country501,Post Code501,,1
01/04/2016 00:00:00,9.00,96.00,16.00,89.00,42.00,76.00,88.00,33.00,84.00,12.00,24.00,29.00,8.00,1.00,https://AllerdaleBoroughCouncil.co.uk/GPGData,Firstname502 Lastname502 (Jobtitle 502),14/02/2017 00:00:00,Allerdale Borough Council,,Address line 502,,City502,Country502,Post Code502,,1
01/04/2016 00:00:00,32.00,40.00,27.00,90.00,72.00,34.00,27.00,45.00,61.00,54.00,58.00,63.00,96.00,16.00,https://AshwellParishCouncil.co.uk/GPGData,Firstname369 Lastname369 (Jobtitle 369),24/11/2016 00:00:00,Ashwell Parish Council,,Address line 369,,City369,Country369,Post Code369,,1
01/04/2016 00:00:00,37.00,92.00,58.00,47.00,17.00,18.00,17.00,6.00,43.00,17.00,54.00,12.00,69.00,93.00,https://AspirationsAcademiesTrust.co.uk/GPGData,Firstname370 Lastname370 (Jobtitle 370),11/02/2017 00:00:00,Aspirations Academies Trust,,Address line 370,,City370,Country370,Post Code370,,1
01/04/2016 00:00:00,4.00,44.00,72.00,83.00,11.00,20.00,9.00,64.00,39.00,54.00,55.00,98.00,33.00,16.00,https://AspleyGuiseParishCouncil.co.uk/GPGData,Firstname371 Lastname371 (Jobtitle 371),31/07/2016 00:00:00,Aspley Guise Parish Council,,Address line 371,,City371,Country371,Post Code371,,1
01/04/2016 00:00:00,43.00,39.00,83.00,70.00,79.00,35.00,66.00,7.00,56.00,78.00,68.00,62.00,21.00,96.00,https://AssociationofGreaterManchesterAuthorities.co.uk/GPGData,Firstname372 Lastname372 (Jobtitle 372),28/05/2016 00:00:00,Association of Greater Manchester Authorities,,Address line 372,,City372,Country372,Post Code372,,1
01/04/2016 00:00:00,52.00,0.00,83.00,3.00,12.00,47.00,95.00,70.00,80.00,82.00,45.00,77.00,78.00,37.00,https://AssociationofNationalParkAuthorities.co.uk/GPGData,Firstname373 Lastname373 (Jobtitle 373),10/02/2017 00:00:00,Association of National Park Authorities,,Address line 373,,City373,Country373,Post Code373,,1
01/04/2016 00:00:00,62.00,31.00,0.00,98.00,92.00,1.00,43.00,96.00,28.00,84.00,37.00,96.00,6.00,58.00,https://AssociationofNorthEastCouncilsLimited.co.uk/GPGData,Firstname374 Lastname374 (Jobtitle 374),22/01/2017 00:00:00,Association of North East Councils Limited,,Address line 374,,City374,Country374,Post Code374,,1
01/04/2016 00:00:00,100.00,44.00,62.00,24.00,79.00,5.00,73.00,62.00,65.00,65.00,11.00,53.00,87.00,13.00,https://AstonleWallsParishCouncil.co.uk/GPGData,Firstname375 Lastname375 (Jobtitle 375),13/06/2016 00:00:00,Aston le Walls Parish Council,,Address line 375,,City375,Country375,Post Code375,,1
01/04/2016 00:00:00,67.00,69.00,18.00,9.00,84.00,24.00,24.00,47.00,50.00,4.00,48.00,58.00,65.00,1.00,https://Aston-cum-AughtonParishCouncil.co.uk/GPGData,Firstname376 Lastname376 (Jobtitle 376),02/02/2017 00:00:00,Aston-cum-Aughton Parish Council,,Address line 376,,City376,Country376,Post Code376,,1
01/04/2016 00:00:00,80.00,55.00,12.00,6.00,45.00,61.00,28.00,14.00,56.00,37.00,27.00,96.00,14.00,48.00,https://AtherstoneTownCouncil.co.uk/GPGData,Firstname377 Lastname377 (Jobtitle 377),26/12/2016 00:00:00,Atherstone Town Council,,Address line 377,,City377,Country377,Post Code377,,1
01/04/2016 00:00:00,42.00,71.00,4.00,12.00,61.00,64.00,51.00,74.00,35.00,36.00,98.00,52.00,20.00,15.00,https://AuditScotland.co.uk/GPGData,Firstname378 Lastname378 (Jobtitle 378),27/07/2016 00:00:00,Audit Scotland,,Address line 378,,City378,Country378,Post Code378,,1
01/04/2016 00:00:00,59.00,83.00,45.00,34.00,77.00,8.00,7.00,63.00,40.00,7.00,56.00,39.00,4.00,8.00,https://AylesburyValeDistrictCouncil.co.uk/GPGData,Firstname476 Lastname476 (Jobtitle 476),06/02/2017 00:00:00,Aylesbury Vale District Council,,Address line 476,,City476,Country476,Post Code476,,1
01/04/2016 00:00:00,46.00,4.00,70.00,48.00,68.00,13.00,16.00,35.00,30.00,66.00,90.00,24.00,60.00,84.00,https://AylshamTownCouncil.co.uk/GPGData,Firstname477 Lastname477 (Jobtitle 477),28/03/2017 00:00:00,Aylsham Town Council,,Address line 477,,City477,Country477,Post Code477,,1
01/04/2016 00:00:00,41.00,32.00,10.00,1.00,6.00,59.00,72.00,64.00,36.00,24.00,53.00,0.00,10.00,83.00,https://AyrshireJointStructurePlan.co.uk/GPGData,Firstname478 Lastname478 (Jobtitle 478),03/01/2017 00:00:00,Ayrshire Joint Structure Plan,,Address line 478,,City478,Country478,Post Code478,,1
01/04/2016 00:00:00,55.00,29.00,26.00,55.00,79.00,26.00,78.00,68.00,36.00,73.00,88.00,4.00,16.00,54.00,https://AyrshireValuationJointBoard.co.uk/GPGData,Firstname479 Lastname479 (Jobtitle 479),02/06/2016 00:00:00,Ayrshire Valuation Joint Board,,Address line 479,,City479,Country479,Post Code479,,1
04/04/2016 00:00:00,21.00,14.00,1.00,88.00,92.00,65.00,84.00,25.00,6.00,58.00,18.00,18.00,100.00,89.00,https://B&ATAXLIMITED.co.uk/GPGData,Firstname122 Lastname122 (Jobtitle 122),13/10/2016 00:00:00,B & A TAX LIMITED,09365869,Munster Road,,London,,SW6 6DH,,70229
04/04/2016 00:00:00,57.00,89.00,85.00,17.00,70.00,13.00,80.00,93.00,52.00,1.00,24.00,52.00,84.00,21.00,https://B&ATHOMSONHOLDINGSLTD.co.uk/GPGData,Firstname123 Lastname123 (Jobtitle 123),05/05/2016 00:00:00,B & A THOMSON HOLDINGS LTD,SC511766,Cluny Square,,Buckie,United Kingdom,AB56 1AH,,68209
04/04/2016 00:00:00,79.00,40.00,85.00,1.00,56.00,39.00,64.00,36.00,1.00,53.00,56.00,55.00,26.00,83.00,https://B&ATORGUTLTD.co.uk/GPGData,Firstname124 Lastname124 (Jobtitle 124),02/08/2016 00:00:00,B & A TORGUT LTD,09051517,Amington Road,,Tamworth,,B77 3LN,,56103
04/04/2016 00:00:00,72.00,42.00,73.00,1.00,6.00,95.00,75.00,75.00,46.00,25.00,70.00,97.00,8.00,52.00,https://B&ATRANSATLANTICSERVICESLIMITED.co.uk/GPGData,Firstname126 Lastname126 (Jobtitle 126),23/01/2017 00:00:00,B & A TRANSATLANTIC SERVICES LIMITED,01130313,Browns Lane,Uckfield,Sussex,,TN22 1RT,,74990
04/04/2016 00:00:00,49.00,26.00,53.00,89.00,79.00,54.00,45.00,10.00,10.00,68.00,56.00,86.00,55.00,12.00,https://B&AUKLIMITED.co.uk/GPGData,Firstname127 Lastname127 (Jobtitle 127),15/06/2016 00:00:00,B & A UK LIMITED,05984724,Dulwich,,London,,SE22 8UJ,,47220
04/04/2016 00:00:00,9.00,98.00,76.00,39.00,87.00,43.00,98.00,25.00,6.00,88.00,76.00,84.00,29.00,46.00,https://B&AUPHOLSTERY(LEEDS)LIMITED.co.uk/GPGData,Firstname128 Lastname128 (Jobtitle 128),08/05/2016 00:00:00,B & A UPHOLSTERY (LEEDS) LIMITED,04718684,Kirklees Garth,Farsley,Pudsey,,LS28 5TQ,,31090
04/04/2016 00:00:00,79.00,27.00,29.00,40.00,24.00,37.00,98.00,7.00,51.00,69.00,35.00,17.00,78.00,1.00,https://B&AVALETING(MIDLANDS)LIMITED.co.uk/GPGData,Firstname130 Lastname130 (Jobtitle 130),21/07/2016 00:00:00,B & A VALETING (MIDLANDS) LIMITED,09656056,Merstow Green,,Evesham,United Kingdom,WR11 4BB,,81299
04/04/2016 00:00:00,12.00,35.00,16.00,52.00,45.00,95.00,17.00,56.00,17.00,20.00,64.00,68.00,71.00,34.00,https://B&AVALETINGLIMITED.co.uk/GPGData,Firstname129 Lastname129 (Jobtitle 129),25/09/2016 00:00:00,B & A VALETING LIMITED,09526002,Blandford Road,,Poole,England,BH15 4JL,,96090
04/04/2016 00:00:00,42.00,59.00,80.00,42.00,22.00,78.00,38.00,58.00,94.00,56.00,28.00,4.00,36.00,26.00,https://B&AWEBBERPROPERTIESLIMITED.co.uk/GPGData,Firstname131 Lastname131 (Jobtitle 131),10/03/2017 00:00:00,B & A WEBBER PROPERTIES LIMITED,09194793,Sackville Street,,Manchester,,M1 3LZ,,68100
04/04/2016 00:00:00,55.00,62.00,11.00,55.00,6.00,0.00,85.00,0.00,18.00,85.00,33.00,70.00,69.00,30.00,https://B&BINFLATABLESLIMITED.co.uk/GPGData,Firstname52 Lastname52 (Jobtitle 52),10/03/2017 00:00:00,B & B INFLATABLES LIMITED,05850568,Wheelhouse Road,,Rugeley,,WS15 1UZ,,82990
04/04/2016 00:00:00,13.00,36.00,44.00,10.00,81.00,97.00,29.00,79.00,44.00,3.00,90.00,43.00,12.00,6.00,https://B&BINSTALLATIONSLTD.co.uk/GPGData,Firstname53 Lastname53 (Jobtitle 53),04/03/2017 00:00:00,B & B INSTALLATIONS LTD,10305134,Layford Road,Huyton,Merseyside,United Kingdom,L36 3SR,,43290
04/04/2016 00:00:00,32.00,20.00,12.00,60.00,98.00,73.00,12.00,26.00,57.00,66.00,53.00,17.00,91.00,92.00,https://B&BJOINERSLTD.co.uk/GPGData,Firstname54 Lastname54 (Jobtitle 54),02/04/2017 00:00:00,B & B JOINERS LTD,SC256443,Hamilton Street,Broughty Ferry,Dundee,,DD5 2NR,,41202
04/04/2016 00:00:00,72.00,5.00,57.00,6.00,44.00,6.00,93.00,80.00,99.00,97.00,28.00,5.00,7.00,57.00,https://B&BJOINERYLIMITED.co.uk/GPGData,Firstname55 Lastname55 (Jobtitle 55),24/07/2016 00:00:00,B & B JOINERY LIMITED,05076749,Carlton,,Barnsley,,S71 3PQ,,43320
04/04/2016 00:00:00,99.00,79.00,94.00,23.00,40.00,61.00,0.00,71.00,96.00,6.00,6.00,97.00,55.00,17.00,https://B&BKIDSCUTSLTD.co.uk/GPGData,Firstname57 Lastname57 (Jobtitle 57),22/05/2016 00:00:00,B & B KIDS CUTS LTD,07791484,Duke's Passage,,Brighton,United Kingdom,BN1 1BS,,96020
04/04/2016 00:00:00,68.00,53.00,17.00,17.00,68.00,94.00,27.00,90.00,25.00,62.00,65.00,60.00,30.00,52.00,https://B&BKNITWEARLIMITED.co.uk/GPGData,Firstname58 Lastname58 (Jobtitle 58),29/03/2017 00:00:00,B & B KNITWEAR LIMITED,01148570,Nottingham Road,Long Eaton,Nottingham,,NG10 1HP,,13910
04/04/2016 00:00:00,53.00,21.00,26.00,34.00,54.00,4.00,14.00,37.00,1.00,57.00,90.00,65.00,10.00,29.00,https://B&BUNITEDLTD.co.uk/GPGData,Firstname313 Lastname313 (Jobtitle 313),10/12/2016 00:00:00,B & B UNITED LTD,10167781,Hollywood Court,15 Inglis Road,Ealing Broadway,England,W53RJ,,
04/04/2016 00:00:00,44.00,12.00,69.00,17.00,59.00,23.00,97.00,85.00,39.00,3.00,10.00,16.00,92.00,29.00,https://B&BUPHOLSTERYLIMITED.co.uk/GPGData,Firstname314 Lastname314 (Jobtitle 314),12/07/2016 00:00:00,B & B UPHOLSTERY LIMITED,04955936,Rhodes Avenue,,Chesterfield,,S41 7AY,,13923
04/04/2016 00:00:00,60.00,26.00,67.00,28.00,88.00,98.00,77.00,14.00,70.00,57.00,49.00,67.00,75.00,82.00,https://B&BVEHICLECONTRACTSLTD.co.uk/GPGData,Firstname315 Lastname315 (Jobtitle 315),03/02/2017 00:00:00,B & B VEHICLE CONTRACTS LTD,06184222,Fairfield Road,,Chesterfield,England,S40 4TR,,64910
04/04/2016 00:00:00,77.00,70.00,66.00,95.00,87.00,84.00,48.00,92.00,75.00,58.00,31.00,62.00,90.00,78.00,https://B&BWELDINGSERVICESLIMITED.co.uk/GPGData,Firstname317 Lastname317 (Jobtitle 317),22/03/2017 00:00:00,B & B WELDING SERVICES LIMITED,06943647,Soham,,Ely,,CB7 5DB,,25990
04/04/2016 00:00:00,100.00,95.00,16.00,3.00,53.00,44.00,87.00,96.00,86.00,95.00,23.00,88.00,75.00,7.00,https://B&BWINDOWSLIMITED.co.uk/GPGData,Firstname319 Lastname319 (Jobtitle 319),06/03/2017 00:00:00,B & B WINDOWS LIMITED,07165830,"Warwick Court, Park Road",,Middleton,,M24 1AE,,43210
04/04/2016 00:00:00,31.00,7.00,97.00,95.00,75.00,84.00,89.00,45.00,57.00,66.00,91.00,31.00,63.00,21.00,https://B&BWRISTBANDSLIMITED.co.uk/GPGData,Firstname321 Lastname321 (Jobtitle 321),03/04/2017 00:00:00,B & B WRISTBANDS LIMITED,09308171,Heather Road,,Skegness,,PE25 3SR,,82990
04/04/2016 00:00:00,7.00,75.00,4.00,61.00,1.00,12.00,6.00,81.00,59.00,62.00,6.00,3.00,52.00,45.00,https://B&CACCOUNTINGSERVICESLTD.co.uk/GPGData,Firstname322 Lastname322 (Jobtitle 322),16/12/2016 00:00:00,B & C ACCOUNTING SERVICES LTD,07304461,Walmersley Road,,Bury,,BL9 5JX,,"69201,69202"
04/04/2016 00:00:00,98.00,47.00,90.00,38.00,70.00,53.00,13.00,26.00,74.00,100.00,66.00,62.00,74.00,80.00,https://B&CAGLTD..co.uk/GPGData,Firstname333 Lastname333 (Jobtitle 333),24/02/2017 00:00:00,B & C AG LTD.,10497166,Caldervale Road,,Wakefield,United Kingdom,WF1 5PF,,"64209,70229"
04/04/2016 00:00:00,32.00,78.00,53.00,14.00,31.00,34.00,61.00,80.00,71.00,20.00,56.00,91.00,38.00,89.00,https://B&CARCHITECTURALLIMITED.co.uk/GPGData,Firstname334 Lastname334 (Jobtitle 334),07/08/2016 00:00:00,B & C ARCHITECTURAL LIMITED,09712124,Kestral Road,,Mansfield,Great Britain,NG18 5FT,,46150
04/04/2016 00:00:00,41.00,67.00,32.00,78.00,76.00,66.00,15.00,93.00,87.00,68.00,16.00,64.00,74.00,65.00,https://B&CASSOCIATES(LONDON)LTD.co.uk/GPGData,Firstname336 Lastname336 (Jobtitle 336),23/06/2016 00:00:00,B & C ASSOCIATES (LONDON) LTD,06006931,Floor,167-169 Great Portland Street,London,,W1W 5PF,,82990
04/04/2016 00:00:00,11.00,7.00,46.00,4.00,16.00,5.00,55.00,14.00,84.00,63.00,7.00,33.00,18.00,0.00,https://B&CASSOCIATESFINANCIALSERVICESLIMITED.co.uk/GPGData,Firstname335 Lastname335 (Jobtitle 335),16/04/2016 00:00:00,B & C ASSOCIATES FINANCIAL SERVICES LIMITED,08933026,Floor 167-169 Great Portland Street,,London,,W1W 5PF,,82990
04/04/2016 00:00:00,70.00,17.00,17.00,60.00,29.00,94.00,94.00,45.00,95.00,93.00,81.00,56.00,86.00,4.00,https://B&CATKINSONLIMITED.co.uk/GPGData,Firstname337 Lastname337 (Jobtitle 337),29/09/2016 00:00:00,B & C ATKINSON LIMITED,04191804,New Oxford Street,,Workington,,CA14 2LR,,41100
04/04/2016 00:00:00,79.00,47.00,61.00,44.00,2.00,31.00,76.00,17.00,2.00,45.00,37.00,55.00,78.00,74.00,https://B&CAUDIOVISUALLIMITED.co.uk/GPGData,Firstname338 Lastname338 (Jobtitle 338),24/07/2016 00:00:00,B & C AUDIO VISUAL LIMITED,NI046909,Lesley Plaza,406/408 Lisburn Road,Belfast,,,,47430
04/04/2016 00:00:00,98.00,76.00,68.00,33.00,18.00,88.00,55.00,28.00,32.00,78.00,16.00,12.00,18.00,13.00,https://B&CAUGERSLTD.co.uk/GPGData,Firstname339 Lastname339 (Jobtitle 339),05/12/2016 00:00:00,B & C AUGERS LTD,08463271,And 3e Hatfield Park Farm,,Takeley,,CM22 6NG,,25620
04/04/2016 00:00:00,69.00,59.00,84.00,32.00,81.00,53.00,26.00,11.00,16.00,63.00,11.00,49.00,21.00,8.00,https://B&CBARANDCLUBRELIEFSLTD.co.uk/GPGData,Firstname340 Lastname340 (Jobtitle 340),11/04/2016 00:00:00,B & C BAR AND CLUB RELIEFS LTD,10403955,Whitefriars Lane,,Coventry,United Kingdom,CV1 2DT,,56301
04/04/2016 00:00:00,62.00,9.00,88.00,52.00,69.00,70.00,57.00,28.00,79.00,48.00,57.00,94.00,81.00,94.00,https://B&CBOLTONLIMITED.co.uk/GPGData,Firstname341 Lastname341 (Jobtitle 341),28/01/2017 00:00:00,B & C BOLTON LIMITED,07097375,Bradshaw Hall Drive,,Bolton,,BL2 4NY,,64999
04/04/2016 00:00:00,38.00,31.00,98.00,83.00,70.00,97.00,11.00,67.00,19.00,29.00,5.00,88.00,60.00,86.00,https://B&CBRICKWORKLIMITED.co.uk/GPGData,Firstname342 Lastname342 (Jobtitle 342),16/05/2016 00:00:00,B & C BRICKWORK LIMITED,08582449,London Road,,Marlborough,,SN8 1LH,,41202
04/04/2016 00:00:00,22.00,85.00,23.00,84.00,13.00,42.00,87.00,69.00,35.00,69.00,72.00,22.00,98.00,76.00,https://BADRIVINGSERVICESLTD.co.uk/GPGData,Firstname205 Lastname205 (Jobtitle 205),27/05/2016 00:00:00,B A DRIVING SERVICES LTD,07979092,Ashbury Drive,Haydock,St. Helens,,WA11 0FA,,49410
04/04/2016 00:00:00,77.00,56.00,67.00,65.00,84.00,90.00,3.00,12.00,77.00,23.00,92.00,92.00,54.00,26.00,https://BAELECTRICALCONTRACTORSLTD.co.uk/GPGData,Firstname207 Lastname207 (Jobtitle 207),13/08/2016 00:00:00,B A ELECTRICAL CONTRACTORS LTD,05643707,Church Road,West Row,Bury St. Edmunds,,IP28 8PF,,43210
04/04/2016 00:00:00,9.00,27.00,80.00,86.00,58.00,46.00,81.00,25.00,57.00,24.00,99.00,96.00,63.00,25.00,https://BAELECTRICALCONTRACTORSNORTHERNLIMITED.co.uk/GPGData,Firstname208 Lastname208 (Jobtitle 208),24/09/2016 00:00:00,B A ELECTRICAL CONTRACTORS NORTHERN LIMITED,08749366,Bankside,,Morpeth,,NE61 1XD,,33140
04/04/2016 00:00:00,82.00,84.00,1.00,77.00,55.00,32.00,94.00,44.00,82.00,31.00,93.00,69.00,27.00,33.00,https://BAELLULLIMITED.co.uk/GPGData,Firstname209 Lastname209 (Jobtitle 209),22/07/2016 00:00:00,B A ELLUL LIMITED,10280152,Stanley Way,Orpington,Kent,United Kingdom,BR5 2HE,,43210
04/04/2016 00:00:00,100.00,61.00,27.00,7.00,75.00,100.00,76.00,14.00,56.00,79.00,91.00,86.00,85.00,31.00,https://BAENGINEERING&CONSTRUCTIONLTD.co.uk/GPGData,Firstname210 Lastname210 (Jobtitle 210),25/06/2016 00:00:00,B A ENGINEERING & CONSTRUCTION LTD,07558891,,,Llanarth,,SA47 0PF,,41201
04/04/2016 00:00:00,84.00,93.00,81.00,14.00,69.00,21.00,88.00,38.00,48.00,57.00,46.00,78.00,92.00,93.00,https://BAFADAMSLTD.co.uk/GPGData,Firstname211 Lastname211 (Jobtitle 211),02/11/2016 00:00:00,B A F ADAMS LTD,09501708,Burton Green,,Kenilworth,,CV8 1QB,,94990
04/04/2016 00:00:00,42.00,52.00,51.00,81.00,27.00,23.00,7.00,41.00,90.00,94.00,32.00,24.00,25.00,41.00,https://BAFFLOORINGLTD.co.uk/GPGData,Firstname212 Lastname212 (Jobtitle 212),26/03/2017 00:00:00,B A F FLOORING LTD,07641974,Mulberry Green,,Old Harlow,United Kingdom,CM17 0ET,,43330
04/04/2016 00:00:00,28.00,14.00,82.00,35.00,68.00,7.00,52.00,92.00,68.00,85.00,35.00,77.00,95.00,24.00,https://BAFIELDSERVICESLIMITED.co.uk/GPGData,Firstname213 Lastname213 (Jobtitle 213),28/04/2016 00:00:00,B A FIELD SERVICES LIMITED,09750697,Aveley Road,,Romford,United Kingdom,RM1 4AB,,42120
04/04/2016 00:00:00,28.00,30.00,97.00,54.00,68.00,53.00,5.00,85.00,84.00,68.00,17.00,32.00,54.00,28.00,https://BANDATRADERSLIMITED.co.uk/GPGData,Firstname125 Lastname125 (Jobtitle 125),06/10/2016 00:00:00,B AND A TRADERS LIMITED,09856595,Craven Park Road,South Tottenham,London,United Kingdom,N15 6AB,,"68100,68320"
